ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
042W,16/05/2006,0,0,NA,2,1,1,Spring,2006,KENNEL,9.6,0.25,GOOD,86,38.5,NA,1,1,1,042W38853,86,6.779170681
042W,22/05/2007,1,NA,1,2,2,2,Spring,2007,PEGLARS,9.5,0.25,GOOD,86,38.1,NA,2,4,8,042W39224,86,6.70855432
042Y,06/06/2007,0,0,NA,1,0,0,Summer,2007,WINDSOR_EDGE,3.3,0,GOOD,61,38.7,034G,1,0,0,042Y39239,61,9.419618036
042Y,06/11/2007,1,1,NA,1,0,0,Autumn,2007,WINDSOR_EDGE,5.1,0,GOOD,71.5,38.5,034G,1,0,0,042Y39392,71.5,7.631125748
043A,09/09/2014,0,0,NA,2,0,0,Autumn,2014,COLE_PARK,5.8,0,FAIR,77,38.2,NA,1,0,0,043A41891,77,6.420415463
043A,05/11/2014,0,0,NA,2,0,0,Autumn,2014,TRACKSIDE,8.9,0.25,GOOD,80,38.5,NA,1,0,0,043A41948,80,8.433775557
043B,18/07/2006,0,0,NA,1,0,0,Summer,2006,LARCH,4.2,0,GOOD,73.5,38.1,007G,1,0,0,043B38916,73.5,5.617514284
043B,24/10/2006,1,1,NA,1,0,0,Autumn,2006,LARCH,5.9,0.25,FAIR,77.5,38.7,007G,1,0,0,043B39014,77.5,6.361447347
043B,12/12/2006,1,1,NA,1,0,0,Winter,2006,LARCH,6.6,0.25,FAIR,80,37.6,007G,1,0,0,043B39063,80,6.254260525
043B,08/05/2007,NA,NA,NA,1,1,1,Spring,2007,NA,4.89,0,POOR,NA,NA,007G,1,1,1,043B39210,NA,#VALUE!
043E,13/08/2013,1,NA,NA,2,NA,4.066,Summer,2013,WINDSOR_EDGE,10.3,0.25,VGOOD,85,38.8,NA,NA,16.532,67.221,043E41499,85,7.627796993
043G,05/08/2003,0,0,NA,1,0,0,Summer,2003,ARTHURS,4.4,NA,GOOD,70,39.2,NA,1,0,0,043G37838,70,7.176565853
043G,29/10/2003,0,0,NA,1,0,0,Autumn,2003,ARTHURS,8.3,NA,GOOD,80,33.6,NA,1,0,0,043G37923,80,7.865206418
043K,17/07/2012,0,0,NA,2,0,0,Summer,2012,WEST,3.7,0,FAIR,64,37.1,NA,1,0,0,043K41107,64,8.688228084
043N,14/10/2009,0,NA,NA,1,NA,4.066,Autumn,2009,NETTLE,6.8,0.75,POOR,84,36.4,NA,NA,16.532,67.221,043N40100,84,5.28410991
043P,23/07/2008,0,0,NA,1,0,0,Summer,2008,BEECH,3.2,0,FAIR,63,37.5,NA,1,0,0,043P39652,63,8.011113731
043P,22/10/2008,0,0,NA,1,0,0,Autumn,2008,BEECH,5.5,0.25,FAIR,76,38.4,NA,1,0,0,043P39743,76,6.420733493
043P,10/12/2008,0,0,NA,1,0,0,Winter,2008,BEECH,6.9,0.25,FAIR,78,37.5,NA,1,0,0,043P39792,78,7.247618351
043P,02/06/2009,1,1,NA,1,1,1,Summer,2009,BEECH,6.6,0,GOOD,82,38.6,NA,1,1,1,043P39966,82,5.656736424
043P,21/07/2009,1,1,NA,1,1,1,Summer,2009,BEECH,7.1,0.25,GOOD,81,37.8,NA,1,1,1,043P40015,81,6.396623166
043P,11/05/2010,1,NA,1,1,2,2,Spring,2010,BEECH,7.7,0.5,FAIR,84,38.2,NA,2,4,8,043P40309,84,5.983477398
043P,07/09/2010,1,NA,1,1,2,2,Autumn,2010,BEECH,9.1,0.5,GOOD,83,39.2,NA,2,4,8,043P40428,83,7.424302657
043P,06/07/2011,1,NA,1,1,3,3,Summer,2011,BEECH,7.8,0.5,FAIR,84,38.6,NA,2,9,27,043P40730,84,6.061184897
043P,18/09/2012,1,NA,1,1,4,4,Autumn,2012,ARTHURS,9.3,0.5,GOOD,84,38.3,NA,2,16,64,043P41170,84,7.226797377
043R,09/06/2004,0,0,NA,1,0,0,Summer,2004,TOP_SETT,4.2,NA,GOOD,70,38.2,U068,1,0,0,043R38147,70,6.850358314
043R,21/09/2004,0,0,NA,1,0,0,Autumn,2004,TOP_SETT,7.3,NA,GOOD,83.5,38.7,U068,1,0,0,043R38251,83.5,5.812056117
043W,07/06/2005,0,0,NA,2,0,0,Summer,2005,BEECH,4.4,NA,GOOD,71,37.8,D059,1,0,0,043W38510,71,6.774308333
043W,02/08/2005,0,0,NA,2,0,0,Summer,2005,BEECH,4.8,NA,FAIR,76,38.4,D059,1,0,0,043W38566,76,5.60354923
043W,27/09/2005,1,1,NA,2,0,0,Autumn,2005,BEECH,5.9,NA,GOOD,67.5,38.2,D059,1,0,0,043W38622,67.5,11.15695028
